VIDEO,ANIMAL,BODY-PART,MEASURE,VALUE
02Training_rat03,Animal_1,Nose,Distance (cm),819.6599622554153
02Training_rat03,Animal_1,Nose,Velocity (cm/s),15.671438467235964
03Training_rat04,Animal_1,Nose,Distance (cm),184.98870921358736
03Training_rat04,Animal_1,Nose,Velocity (cm/s),23.188029754407623
02Training_rat02,Animal_1,Nose,Distance (cm),824.9880118627709
02Training_rat02,Animal_1,Nose,Velocity (cm/s),20.642863688106058
02Training_rat16,Animal_1,Nose,Distance (cm),541.4833699469086
02Training_rat16,Animal_1,Nose,Velocity (cm/s),16.79011176873797
03Training_rat10,Animal_1,Nose,Distance (cm),437.77588708486246
03Training_rat10,Animal_1,Nose,Velocity (cm/s),14.061804898380194
