VIDEO,TIME BIN #,START TIME,END TIME,ANIMAL,BODY-PART,MEASUREMENT,VALUE
01Training_rat02,117,00:01:57.000,00:01:58.000,Animal_1,Center,Movement (cm),0.3731377325836686
01Training_rat02,118,00:01:58.000,00:01:59.000,Animal_1,Center,Movement (cm),1.1755810349503952
01Training_rat02,119,00:01:59.000,00:02:00.000,Animal_1,Center,Movement (cm),0.31964604800655616
01Training_rat02,120,00:02:00.000,00:02:01.000,Animal_1,Center,Movement (cm),1.6304745844617277
01Training_rat02,121,00:02:01.000,00:02:02.000,Animal_1,Center,Movement (cm),2.1731675178551866
01Training_rat02,122,00:02:02.000,00:02:03.000,Animal_1,Center,Movement (cm),17.070118276065966
01Training_rat02,123,00:02:03.000,00:02:04.000,Animal_1,Center,Movement (cm),7.533486276219892
01Training_rat02,124,00:02:04.000,00:02:05.000,Animal_1,Center,Movement (cm),3.458003109289508
01Training_rat02,125,00:02:05.000,00:02:06.000,Animal_1,Center,Movement (cm),4.149104355953471
01Training_rat02,126,00:02:06.000,00:02:07.000,Animal_1,Center,Movement (cm),4.184072483186756
01Training_rat02,127,00:02:07.000,00:02:08.000,Animal_1,Center,Movement (cm),4.4644015711251175
01Training_rat02,128,00:02:08.000,00:02:09.000,Animal_1,Center,Movement (cm),10.05218426543477
01Training_rat02,129,00:02:09.000,00:02:10.000,Animal_1,Center,Movement (cm),8.249644778090868
01Training_rat02,130,00:02:10.000,00:02:11.000,Animal_1,Center,Movement (cm),4.431233588746796
01Training_rat02,131,00:02:11.000,00:02:12.000,Animal_1,Center,Movement (cm),4.154659585188794
01Training_rat02,132,00:02:12.000,00:02:13.000,Animal_1,Center,Movement (cm),1.5525765140783845
01Training_rat02,133,00:02:13.000,00:02:14.000,Animal_1,Center,Movement (cm),0.2241803806490228
01Training_rat02,134,00:02:14.000,00:02:15.000,Animal_1,Center,Movement (cm),0.8821784377246413
01Training_rat02,135,00:02:15.000,00:02:16.000,Animal_1,Center,Movement (cm),0.709381058613781
01Training_rat02,136,00:02:16.000,00:02:17.000,Animal_1,Center,Movement (cm),4.131062909534596
01Training_rat02,137,00:02:17.000,00:02:18.000,Animal_1,Center,Movement (cm),2.065729669170614
01Training_rat02,138,00:02:18.000,00:02:19.000,Animal_1,Center,Movement (cm),2.2088718555101305
01Training_rat02,139,00:02:19.000,00:02:20.000,Animal_1,Center,Movement (cm),2.6129843108856314
01Training_rat02,140,00:02:20.000,00:02:21.000,Animal_1,Center,Movement (cm),4.7475395138219625
01Training_rat02,141,00:02:21.000,00:02:22.000,Animal_1,Center,Movement (cm),3.45507537486109
01Training_rat02,142,00:02:22.000,00:02:23.000,Animal_1,Center,Movement (cm),1.5329389717694162
01Training_rat02,143,00:02:23.000,00:02:24.000,Animal_1,Center,Movement (cm),6.120402450093652
01Training_rat02,144,00:02:24.000,00:02:25.000,Animal_1,Center,Movement (cm),4.942744679550063
01Training_rat02,145,00:02:25.000,00:02:26.000,Animal_1,Center,Movement (cm),15.967076160761206
01Training_rat02,146,00:02:26.000,00:02:27.000,Animal_1,Center,Movement (cm),2.6909192827739012
01Training_rat02,147,00:02:27.000,00:02:28.000,Animal_1,Center,Movement (cm),4.083963359729206
01Training_rat02,148,00:02:28.000,00:02:29.000,Animal_1,Center,Movement (cm),7.904606391739781
01Training_rat02,149,00:02:29.000,00:02:30.000,Animal_1,Center,Movement (cm),10.534641075556191
01Training_rat02,150,00:02:30.000,00:02:31.000,Animal_1,Center,Movement (cm),0.7249888355378282
01Training_rat02,151,00:02:31.000,00:02:32.000,Animal_1,Center,Movement (cm),0.4201175488718766
01Training_rat02,152,00:02:32.000,00:02:33.000,Animal_1,Center,Movement (cm),1.3130894102960198
01Training_rat02,153,00:02:33.000,00:02:34.000,Animal_1,Center,Movement (cm),2.6157845684581313
01Training_rat02,154,00:02:34.000,00:02:35.000,Animal_1,Center,Movement (cm),2.9827364555447184
01Training_rat02,155,00:02:35.000,00:02:36.000,Animal_1,Center,Movement (cm),9.070857382250125
01Training_rat02,156,00:02:36.000,00:02:37.000,Animal_1,Center,Movement (cm),18.360378825470512
